corrupted file!
s5p_l2_ch4_0017_03575.nc 2018-06-22 10:15:17
s5p_l2_ch4_0017_03576.nc 2018-06-22 11:56:48
s5p_l2_ch4_0017_03577.nc 2018-06-22 13:38:17
s5p_l2_ch4_0017_03590.nc 2018-06-23 11:37:46
s5p_l2_ch4_0017_03591.nc 2018-06-23 13:19:15
s5p_l2_ch4_0017_03604.nc 2018-06-24 11:18:44
s5p_l2_ch4_0017_03605.nc 2018-06-24 13:00:14
s5p_l2_ch4_0017_03606.nc 2018-06-24 14:41:43
s5p_l2_ch4_0017_03618.nc 2018-06-25 10:59:42
s5p_l2_ch4_0017_03619.nc 2018-06-25 12:41:12
s5p_l2_ch4_0017_03620.nc 2018-06-25 14:22:42
s5p_l2_ch4_0017_03632.nc 2018-06-26 10:40:40
s5p_l2_ch4_0017_03633.nc 2018-06-26 12:22:10
s5p_l2_ch4_0017_03634.nc 2018-06-26 14:03:40
s5p_l2_ch4_0017_03646.nc 2018-06-27 10:21:38
s5p_l2_ch4_0017_03647.nc 2018-06-27 12:03:07
s5p_l2_ch4_0017_03648.nc 2018-06-27 13:44:38
s5p_l2_ch4_0017_03660.nc 2018-06-28 10:02:36
s5p_l2_ch4_0017_03661.nc 2018-06-28 11:44:05
corrupted file!
s5p_l2_ch4_0017_03675.nc 2018-06-29 11:25:03
s5p_l2_ch4_0017_03676.nc 2018-06-29 13:06:33
s5p_l2_ch4_0017_03677.nc 2018-06-29 14:48:02
s5p_l2_ch4_0017_03689.nc 2018-06-30 11:06:01
s5p_l2_ch4_0017_03690.nc 2018-06-30 12:47:31
s5p_l2_ch4_0017_03691.nc 2018-06-30 14:29:01
s5p_l2_ch4_0017_03703.nc 2018-07-01 10:40:52
s5p_l2_ch4_0017_03704.nc 2018-07-01 12:28:28
s5p_l2_ch4_0017_03705.nc 2018-07-01 14:09:59
s5p_l2_ch4_0017_03717.nc 2018-07-02 10:27:56
s5p_l2_ch4_0017_03718.nc 2018-07-02 12:03:19
s5p_l2_ch4_0017_03719.nc 2018-07-02 13:44:48
s5p_l2_ch4_0017_03731.nc 2018-07-03 10:08:53
s5p_l2_ch4_0017_03732.nc 2018-07-03 11:50:23
s5p_l2_ch4_0017_03733.nc 2018-07-03 13:25:46
s5p_l2_ch4_0017_03746.nc 2018-07-04 11:31:20
